,Calendar_Year,Calendar_Month,Route,Average_Daily_Ridership,city
390,2019,11,45,6217.0,Philadelphia
391,2019,11,46,5714.0,Philadelphia
392,2019,11,47,17860.0,Philadelphia
393,2019,11,48,7778.0,Philadelphia
394,2019,11,49,3024.0,Philadelphia
395,2019,11,50,1973.0,Philadelphia
396,2019,11,52,14273.0,Philadelphia
397,2019,11,53,2901.0,Philadelphia
398,2019,11,54,7139.0,Philadelphia
399,2019,11,55,5000.0,Philadelphia
400,2019,11,56,10786.0,Philadelphia
401,2019,11,57,10642.0,Philadelphia
402,2019,11,58,8157.0,Philadelphia
403,2019,11,59,4711.0,Philadelphia
404,2019,11,60,10787.0,Philadelphia
405,2019,11,61,4492.0,Philadelphia
406,2019,11,62,249.0,Philadelphia
407,2019,11,64,5990.0,Philadelphia
408,2019,11,65,7925.0,Philadelphia
409,2019,11,66,10806.0,Philadelphia
410,2019,11,67,4884.0,Philadelphia
411,2019,11,68,2471.0,Philadelphia
412,2019,11,70,8356.0,Philadelphia
413,2019,11,73,2393.0,Philadelphia
414,2019,11,75,3363.0,Philadelphia
415,2019,11,77,852.0,Philadelphia
416,2019,11,78,78.0,Philadelphia
417,2019,11,79,5610.0,Philadelphia
418,2019,11,80,225.0,Philadelphia
419,2019,11,84,3718.0,Philadelphia
420,2019,11,88,2270.0,Philadelphia
421,2019,11,89,1724.0,Philadelphia
422,2019,11,90,408.0,Philadelphia
423,2019,11,92,317.0,Philadelphia
424,2019,11,93,1242.0,Philadelphia
425,2019,11,94,491.0,Philadelphia
426,2019,11,95,579.0,Philadelphia
427,2019,11,96,1356.0,Philadelphia
428,2019,11,97,686.0,Philadelphia
429,2019,11,98,969.0,Philadelphia
430,2019,11,99,1255.0,Philadelphia
431,2019,11,D1,4180.0,Philadelphia
432,2019,11,D2,4235.0,Philadelphia
433,2019,11,103,1312.0,Philadelphia
434,2019,11,104,2977.0,Philadelphia
435,2019,11,105,1212.0,Philadelphia
436,2019,11,106,1222.0,Philadelphia
437,2019,11,107,968.0,Philadelphia
438,2019,11,108,5322.0,Philadelphia
439,2019,11,109,4269.0,Philadelphia
440,2019,11,110,1967.0,Philadelphia
441,2019,11,111,1438.0,Philadelphia
442,2019,11,112,1099.0,Philadelphia
443,2019,11,113,6713.0,Philadelphia
444,2019,11,114,1871.0,Philadelphia
445,2019,11,115,1211.0,Philadelphia
446,2019,11,117,2011.0,Philadelphia
447,2019,11,118,492.0,Philadelphia
448,2019,11,119,732.0,Philadelphia
449,2019,11,120,368.0,Philadelphia
450,2019,11,123,996.0,Philadelphia
451,2019,11,124,1934.0,Philadelphia
452,2019,11,125,2264.0,Philadelphia
453,2019,11,126,554.0,Philadelphia
454,2019,11,127,312.0,Philadelphia
455,2019,11,128,358.0,Philadelphia
456,2019,11,129,892.0,Philadelphia
457,2019,11,130,600.0,Philadelphia
458,2019,11,131,734.0,Philadelphia
459,2019,11,132,378.0,Philadelphia
460,2019,11,133,86.0,Philadelphia
461,2019,11,139,424.0,Philadelphia
462,2019,11,150,30.0,Philadelphia
463,2019,11,201,105.0,Philadelphia
464,2019,11,204,208.0,Philadelphia
465,2019,11,206,153.0,Philadelphia
466,2019,11,310,457.0,Philadelphia
467,2019,11,311,236.0,Philadelphia
468,2019,11,47M,825.0,Philadelphia
469,2019,11,BLVDDIR,3298.0,Philadelphia
470,2019,11,B1 OWL,1867.0,Philadelphia
471,2019,11,63,16704.0,Philadelphia
472,2019,11,71,4982.0,Philadelphia
473,2019,11,41,2865.0,Philadelphia
474,2019,11,K,9117.0,Philadelphia
475,2019,11,51,7648.0,Philadelphia
476,2019,11,LUCYGO,1618.0,Philadelphia
477,2019,11,LUCYGR,1090.0,Philadelphia
478,2019,11,L1 OWL,1900.0,Philadelphia
479,2019,11,82,10123.0,Philadelphia
480,2019,11,81,5676.0,Philadelphia
481,2019,12,1,2368.0,Philadelphia
482,2019,12,2,4746.0,Philadelphia
483,2019,12,3,7304.0,Philadelphia
484,2019,12,4,6472.0,Philadelphia
485,2019,12,5,3182.0,Philadelphia
486,2019,12,6,4964.0,Philadelphia
487,2019,12,7,4598.0,Philadelphia
488,2019,12,8,2512.0,Philadelphia
489,2019,12,9,4036.0,Philadelphia
490,2019,12,T1,10422.0,Philadelphia
491,2019,12,T4,11965.0,Philadelphia
492,2019,12,12,2380.0,Philadelphia
493,2019,12,T3,12380.0,Philadelphia
494,2019,12,14,5491.0,Philadelphia
495,2019,12,G1,10194.0,Philadelphia
496,2019,12,16,5959.0,Philadelphia
497,2019,12,17,8284.0,Philadelphia
498,2019,12,18,12738.0,Philadelphia
499,2019,12,19,1161.0,Philadelphia
500,2019,12,20,4182.0,Philadelphia
501,2019,12,21,8915.0,Philadelphia
502,2019,12,22,3929.0,Philadelphia
503,2019,12,23,14485.0,Philadelphia
504,2019,12,24,1955.0,Philadelphia
505,2019,12,25,3799.0,Philadelphia
506,2019,12,26,10152.0,Philadelphia
507,2019,12,27,3539.0,Philadelphia
508,2019,12,28,1696.0,Philadelphia
509,2019,12,29,3938.0,Philadelphia
510,2019,12,30,1108.0,Philadelphia
511,2019,12,31,4026.0,Philadelphia
512,2019,12,32,4060.0,Philadelphia
513,2019,12,33,9985.0,Philadelphia
514,2019,12,T2,11756.0,Philadelphia
515,2019,12,35,122.0,Philadelphia
516,2019,12,T5,12902.0,Philadelphia
517,2019,12,37,3164.0,Philadelphia
518,2019,12,38,2291.0,Philadelphia
519,2019,12,39,2195.0,Philadelphia
520,2019,12,40,6405.0,Philadelphia
521,2019,12,42,8197.0,Philadelphia
522,2019,12,43,2894.0,Philadelphia
523,2019,12,44,2897.0,Philadelphia
